Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
1848;42,2372;8,576;GWL20;780,2441176;66,09235294
1849;42,2315;8,6723;GWL20;929,5882353;75,98823529
1850;42,2256;8,7686;GWL20;1128,427647;84,04294118
1851;42,2197;8,8649;GWL20;1215,141765;87,14
1852;42,2137;8,9611;GWL20;1233,674706;89,03
1853;42,2076;9,0574;GWL20;1313,605882;92,77647059
1854;42,2015;9,1536;GWL20;1088,862353;83,39882353
1855;42,1952;9,2498;GWL20;831,6970588;89,28647059
1856;42,1889;9,346;GWL20;941,3311765;107,8264706
1857;42,1824;9,4421;GWL20;881,1311765;103,5588235
1858;42,1759;9,5383;GWL20;845,5947059;100,8735294
1918;42,4897;1,5116;GWL20;949,5852941;64,11235294
1919;42,4905;1,6087;GWL20;1112,471765;68,17176471
1920;42,4911;1,7057;GWL20;1115,306471;69,90764706
1921;42,4916;1,8028;GWL20;896,3970588;57,34705882
1922;42,4921;1,8998;GWL20;778,0411765;54,94470588
1923;42,4924;1,9969;GWL20;741,0652941;53,40352941
1924;42,4927;2,0939;GWL20;763,2835294;54,43941176
1925;42,4929;2,191;GWL20;973,0823529;79,33176471
1926;42,4929;2,2881;GWL20;973,0776471;80,04117647
1927;42,4929;2,3851;GWL20;965,5329412;92,18352941
1928;42,4929;2,4822;GWL20;1544,187647;143,0782353
1929;42,4927;2,5792;GWL20;1198,845882;117,1452941
1930;42,4924;2,6763;GWL20;979,9717647;100,7835294
1931;42,4921;2,7733;GWL20;766,6729412;94,23411765
1932;42,4916;2,8704;GWL20;798,0605882;95,65235294
1933;42,4911;2,9674;GWL20;898,9805882;107,3370588
1934;42,4905;3,0645;GWL20;810,2241176;103,1194118
1935;42,4898;3,1615;GWL20;721,6605882;96,03941176
1991;42,3088;8,5836;GWL20;756,4952941;60,50705882
1992;42,303;8,6801;GWL20;818,3970588;64,54411765
1993;42,2972;8,7765;GWL20;1102,345294;83,36764706
1994;42,2913;8,8729;GWL20;1263,624706;98,21235294
1995;42,2853;8,9693;GWL20;1233,720588;88,91411765
1996;42,2792;9,0656;GWL20;1198,772353;87,54058824
1997;42,273;9,162;GWL20;870,1823529;81,93529412
1998;42,2667;9,2583;GWL20;1012,111176;118,2994118
1999;42,2604;9,3546;GWL20;1072,696471;125,1617647
2000;42,2539;9,4509;GWL20;970,8305882;112,0276471
2001;42,2474;9,5471;GWL20;846,7282353;100,6194118
2061;42,5616;1,5106;GWL20;972,2511765;66,06058824
2062;42,5623;1,6078;GWL20;1054,016471;67,78411765
2063;42,5629;1,7049;GWL20;1117,823529;68,70823529
2064;42,5634;1,8021;GWL20;913,1747059;59,32470588
2065;42,5639;1,8993;GWL20;966,7594118;61,09058824
2066;42,5642;1,9965;GWL20;941,43;58,99882353
2067;42,5645;2,0936;GWL20;863,5482353;56,01176471
2068;42,5647;2,1908;GWL20;948,5741176;80,23470588
2069;42,5648;2,288;GWL20;817,4494118;78,01176471
2070;42,5648;2,3852;GWL20;765,1376471;81,95058824
2071;42,5647;2,4823;GWL20;830,0623529;91,52529412
2072;42,5645;2,5795;GWL20;943,7176471;112,9052941
2073;42,5642;2,6767;GWL20;832,7794118;101,8664706
2074;42,5639;2,7739;GWL20;751,3852941;92,82647059
2075;42,5634;2,8711;GWL20;679,1170588;94,28235294
2076;42,5629;2,9682;GWL20;659,2988235;94,37764706
2077;42,5623;3,0654;GWL20;714,27;92,81058824
2134;42,3804;8,5913;GWL20;669,6535294;59,44941176
2135;42,3746;8,6879;GWL20;743,16;63,72235294
2136;42,3688;8,7844;GWL20;968,6376471;74,47352941
2137;42,3629;8,8809;GWL20;1284,538235;95,75941176
2138;42,3568;8,9774;GWL20;1268,94;91,76411765
2139;42,3507;9,0739;GWL20;1144,985882;81,52588235
2140;42,3446;9,1704;GWL20;821,85;77,18470588
2141;42,3383;9,2668;GWL20;1165,003529;132,7682353
2142;42,3319;9,3632;GWL20;1206,95;137,6664706
2143;42,3254;9,4596;GWL20;1045,564118;119,5947059
2144;42,3189;9,556;GWL20;843,4441176;102,9041176
2203;42,6326;1,4123;GWL20;1526,037059;78,05294118
2204;42,6334;1,5096;GWL20;1125,493529;70,57294118
2205;42,6341;1,6069;GWL20;1559,032353;80,64588235
2206;42,6347;1,7042;GWL20;1562,43;80,47588235
2207;42,6353;1,8014;GWL20;1481,744118;76,29411765
2208;42,6357;1,8987;GWL20;1505,953529;76,14941176
2209;42,6361;1,996;GWL20;1537,235882;77,97705882
2210;42,6363;2,0933;GWL20;853,3764706;55,07647059
2211;42,6365;2,1906;GWL20;1380,772353;81,78882353
2212;42,6366;2,2879;GWL20;883,8664706;81,46705882
2213;42,6366;2,3852;GWL20;719,4541176;74,61882353
2214;42,6365;2,4825;GWL20;836,2629412;97,15470588
2215;42,6363;2,5798;GWL20;821,4958824;95,95470588
2216;42,6361;2,6771;GWL20;776,8988235;95,86058824
2217;42,6357;2,7744;GWL20;691,3235294;95,16176471
2218;42,6353;2,8717;GWL20;667,0629412;93,37117647
2219;42,6347;2,969;GWL20;655,8688235;92,53588235
2220;42,6341;3,0663;GWL20;652,2535294;91,92294118
2278;42,4462;8,6957;GWL20;673,8552941;57,13941176
2279;42,4404;8,7924;GWL20;796,5870588;63,25235294
2280;42,4344;8,889;GWL20;1277,952353;90,48176471
2281;42,4284;8,9856;GWL20;1301,794118;99,40352941
2282;42,4223;9,0822;GWL20;1189,745294;83,96529412
2283;42,4161;9,1788;GWL20;768,7952941;72,94117647
2284;42,4098;9,2753;GWL20;1100,457647;127,3764706
2285;42,4034;9,3719;GWL20;1073,106471;124,7352941
