Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
139;41,3373;9,1495;GWL15;696,2970588235294;56,32764705882353
281;41,4149;9,0628;GWL15;693,6141176470588;55,81
282;41,4087;9,1577;GWL15;723,9011764705882;57,71470588235294
283;41,4025;9,2527;GWL15;703,54;57,099411764705884
422;41,4985;8,8808;GWL15;701,40;56,315294117647056
423;41,4925;8,9759;GWL15;716,3358823529411;56,894705882352945
424;41,4864;9,071;GWL15;711,9558823529412;58,061764705882354
425;41,4802;9,166;GWL15;751,3664705882353;60,08882352941176
426;41,4739;9,261;GWL15;719,74;58,917058823529416
564;41,5759;8,7935;GWL15;724,5082352941176;52,94529411764706
565;41,57;8,8888;GWL15;759,4223529411765;54,69529411764706
566;41,564;8,984;GWL15;790,5082352941176;56,72117647058823
567;41,5579;9,0791;GWL15;1030,4188235294116;69,82470588235294
568;41,5517;9,1743;GWL15;757,6052941176471;60,52352941176471
569;41,5454;9,2694;GWL15;737,6294117647059;69,47941176470589
707;41,6474;8,8014;GWL15;728,5311764705883;53,887058823529415
708;41,6415;8,8967;GWL15;785,01;58,90529411764706
709;41,6355;8,992;GWL15;795,6111764705882;56,93294117647059
710;41,6294;9,0873;GWL15;1012,4029411764704;70,82117647058824
711;41,6232;9,1826;GWL15;1019,0017647058822;71,12235294117647
712;41,6169;9,2779;GWL15;828,5570588235294;78,91470588235293
849;41,7248;8,7138;GWL15;738,8570588235294;58,27235294117647
850;41,719;8,8093;GWL15;740,5070588235294;58,35588235294117
851;41,713;8,9047;GWL15;811,4329411764706;59,64705882352941
852;41,707;9,0001;GWL15;974,3358823529411;65,60117647058824
853;41,7009;9,0955;GWL15;1020,2988235294118;69,22764705882352
854;41,6946;9,1909;GWL15;1137,874117647059;82,76
855;41,6884;9,2863;GWL15;926,8117647058823;83,91941176470587
856;41,682;9,3817;GWL15;826,9570588235295;86,18882352941176
992;41,7963;8,7216;GWL15;748,6076470588235;59,07176470588235
993;41,7905;8,8171;GWL15;847,70;63,864117647058826
994;41,7845;8,9127;GWL15;931,3194117647059;67,10823529411765
995;41,7785;9,0083;GWL15;1133,5458823529411;76,21470588235294
996;41,7724;9,1038;GWL15;1342,939411764706;87,66235294117647
997;41,7661;9,1993;GWL15;1367,280588235294;96,34176470588235
998;41,7598;9,2948;GWL15;1207,775294117647;89,95529411764706
999;41,7535;9,3902;GWL15;851,8782352941176;87,64529411764705
1134;41,8737;8,6336;GWL15;727,6482352941176;56,157647058823535
1135;41,8679;8,7294;GWL15;728,3370588235293;57,207647058823525
1136;41,862;8,8251;GWL15;807,7135294117646;61,72647058823529
1137;41,856;8,9207;GWL15;1036,3264705882352;71,24823529411765
1138;41,85;9,0164;GWL15;1007,9147058823529;67,14411764705882
1139;41,8439;9,112;GWL15;1476,4964705882353;95,76117647058824
1140;41,8376;9,2077;GWL15;1603,919411764706;111,43470588235294
1141;41,8313;9,3033;GWL15;975,7252941176472;88,44294117647058
1142;41,8249;9,3988;GWL15;833,7829411764706;103,32882352941176
1276;41,9509;8,5455;GWL15;729,8264705882352;59,31588235294117
1277;41,9452;8,6413;GWL15;782,5294117647059;61,84176470588235
1278;41,9394;8,7372;GWL15;780,6470588235294;62,336470588235294
1279;41,9335;8,833;GWL15;769,7405882352941;63,22
1280;41,9276;8,9288;GWL15;881,2258823529412;66,18882352941176
1281;41,9215;9,0246;GWL15;1199,405294117647;74,37705882352941
1282;41,9154;9,1203;GWL15;1330,890588235294;87,10235294117648
1283;41,9091;9,216;GWL15;1188,0364705882353;88,80470588235295
1284;41,9028;9,3118;GWL15;965,9370588235295;110,96058823529411
1285;41,8964;9,4075;GWL15;810,3476470588236;100,42294117647059
1420;42,0168;8,649;GWL15;746,8370588235293;61,646470588235296
1421;42,011;8,745;GWL15;818,9711764705883;65,11588235294118
