Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
139;41,3373;9,1495;GWL30;664,5917647058823;63,271176470588244
281;41,4149;9,0628;GWL30;667,4341176470589;62,57235294117647
282;41,4087;9,1577;GWL30;694,43;67,35058823529413
283;41,4025;9,2527;GWL30;670,6670588235294;65,93058823529411
422;41,4985;8,8808;GWL30;671,6817647058824;61,105294117647055
423;41,4925;8,9759;GWL30;686,2088235294117;61,83588235294118
424;41,4864;9,071;GWL30;679,6082352941177;64,60235294117648
425;41,4802;9,166;GWL30;714,8658823529412;69,72529411764705
426;41,4739;9,261;GWL30;680,7311764705883;67,71764705882353
564;41,5759;8,7935;GWL30;688,5517647058824;58,436470588235295
565;41,57;8,8888;GWL30;721,0964705882352;60,180588235294124
566;41,564;8,984;GWL30;746,0517647058823;60,86705882352941
567;41,5579;9,0791;GWL30;960,994705882353;78,66882352941175
568;41,5517;9,1743;GWL30;719,5611764705883;69,66
569;41,5454;9,2694;GWL30;715,2288235294118;84,65117647058823
707;41,6474;8,8014;GWL30;693,0335294117647;59,19294117647058
708;41,6415;8,8967;GWL30;740,554705882353;64,13529411764705
709;41,6355;8,992;GWL30;749,9982352941176;60,8064705882353
710;41,6294;9,0873;GWL30;942,1747058823529;78,71117647058823
711;41,6232;9,1826;GWL30;948,2729411764706;79,01117647058824
712;41,6169;9,2779;GWL30;802,3011764705882;94,41176470588235
849;41,7248;8,7138;GWL30;693,1570588235294;60,218823529411765
850;41,719;8,8093;GWL30;694,6929411764706;60,3
851;41,713;8,9047;GWL30;764,9417647058824;65,01823529411764
852;41,707;9,0001;GWL30;912,39;70,56
853;41,7009;9,0955;GWL30;942,9770588235294;75,35000000000001
854;41,6946;9,1909;GWL30;1067,6164705882352;94,72411764705882
855;41,6884;9,2863;GWL30;887,8970588235294;98,59235294117647
856;41,682;9,3817;GWL30;799,6894117647058;101,44235294117647
992;41,7963;8,7216;GWL30;700,6999999999999;60,44764705882352
993;41,7905;8,8171;GWL30;792,3764705882353;65,24941176470588
994;41,7845;8,9127;GWL30;864,1423529411765;69,51882352941176
995;41,7785;9,0083;GWL30;1046,456470588235;78,88470588235293
996;41,7724;9,1038;GWL30;1226,7223529411765;93,35235294117648
997;41,7661;9,1993;GWL30;1287,3864705882352;108,33117647058825
998;41,7598;9,2948;GWL30;1130,1805882352942;100,25058823529412
999;41,7535;9,3902;GWL30;818,8364705882352;100,38999999999999
1134;41,8737;8,6336;GWL30;687,574705882353;58,01882352941176
1135;41,8679;8,7294;GWL30;687,155294117647;59,37705882352941
1136;41,862;8,8251;GWL30;757,5147058823529;63,55823529411765
1137;41,856;8,9207;GWL30;964,2664705882353;73,90882352941176
1138;41,85;9,0164;GWL30;931,2776470588236;71,96529411764706
1139;41,8439;9,112;GWL30;1346,7564705882353;100,89294117647059
1140;41,8376;9,2077;GWL30;1499,0311764705882;117,66588235294117
1141;41,8313;9,3033;GWL30;916,7294117647059;94,22117647058823
1142;41,8249;9,3988;GWL30;805,064705882353;113,84823529411766
1276;41,9509;8,5455;GWL30;692,8070588235294;61,294117647058826
1277;41,9452;8,6413;GWL30;742,1270588235294;63,86529411764706
1278;41,9394;8,7372;GWL30;737,8923529411765;64,12588235294118
1279;41,9335;8,833;GWL30;723,4735294117646;63,618235294117646
1280;41,9276;8,9288;GWL30;827,899411764706;70,55117647058823
1281;41,9215;9,0246;GWL30;1105,4158823529413;79,03235294117647
1282;41,9154;9,1203;GWL30;1224,005294117647;91,79235294117647
1283;41,9091;9,216;GWL30;1124,3964705882354;93,48
1284;41,9028;9,3118;GWL30;944,1641176470589;122,02529411764705
1285;41,8964;9,4075;GWL30;788,4923529411764;112,3970588235294
1420;42,0168;8,649;GWL30;707,5023529411765;64,57176470588236
1421;42,011;8,745;GWL30;774,9782352941177;68,04058823529412
1422;42,0051;8,8409;GWL30;777,6388235294118;70,98176470588236
1423;41,9991;8,9368;GWL30;1038,5882352941176;80,84941176470589
1424;41,993;9,0327;GWL30;1107,994705882353;79,93411764705881
1425;41,9869;9,1286;GWL30;1410,465294117647;105,53
1426;41,9806;9,2245;GWL30;1113,899411764706;93,91764705882352
1427;41,9743;9,3203;GWL30;924,1835294117648;120,48176470588236
1428;41,9679;9,4161;GWL30;792,9370588235295;110,80176470588236
1562;42,0941;8,5607;GWL30;697,4364705882354;65,64411764705882
1563;42,0883;8,6568;GWL30;702,1505882352941;68,42294117647059
1564;42,0825;8,7528;GWL30;741,255294117647;70,42117647058824
1565;42,0766;8,8489;GWL30;961,0811764705882;81,9764705882353
1566;42,0706;8,9449;GWL30;963,234705882353;77,8664705882353
1567;42,0646;9,0409;GWL30;1263,7458823529412;92,37470588235294
1568;42,0584;9,1369;GWL30;1224,949411764706;103,36235294117647
1569;42,0522;9,2329;GWL30;1074,1711764705883;95,27411764705883
